session_id,participant_id,visit_no,interval_from_first_days,device_id,camera_model,app_version,resolution,target_fps,distance_cm,light_lux,room_condition,glasses,human_subject_data
P007-S5,P007,5,34,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.1,441,indoor_controlled_simulated,none,true
P008-S1,P008,1,0,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.9,491,indoor_controlled_simulated,habitual_clear,true
P008-S2,P008,2,7,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.2,405,indoor_controlled_simulated,habitual_clear,true
P008-S3,P008,3,14,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.4,424,indoor_controlled_simulated,habitual_clear,true
P008-S4,P008,4,21,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.1,358,indoor_controlled_simulated,habitual_clear,true
P008-S5,P008,5,28,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.8,494,indoor_controlled_simulated,habitual_clear,true
P009-S1,P009,1,1,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.1,395,indoor_controlled_simulated,none,true
P009-S2,P009,2,8,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.2,461,indoor_controlled_simulated,none,true
P009-S3,P009,3,15,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.6,349,indoor_controlled_simulated,none,true
P009-S4,P009,4,22,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.1,408,indoor_controlled_simulated,none,true
P009-S5,P009,5,29,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.6,385,indoor_controlled_simulated,none,true
P010-S1,P010,1,2,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.7,572,indoor_controlled_simulated,none,true
P010-S2,P010,2,9,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.9,384,indoor_controlled_simulated,none,true
P010-S3,P010,3,16,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.5,354,indoor_controlled_simulated,none,true
P010-S4,P010,4,23,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.7,386,indoor_controlled_simulated,none,true
P010-S5,P010,5,30,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.5,583,indoor_controlled_simulated,none,true
P011-S1,P011,1,3,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.5,410,indoor_controlled_simulated,none,true
P011-S2,P011,2,10,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.6,475,indoor_controlled_simulated,none,true
P011-S3,P011,3,17,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64,376,indoor_controlled_simulated,none,true
P011-S4,P011,4,24,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.6,258,indoor_controlled_simulated,none,true
P011-S5,P011,5,31,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.1,464,indoor_controlled_simulated,none,true
P012-S1,P012,1,4,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.3,536,indoor_controlled_simulated,habitual_clear,true
P012-S2,P012,2,11,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.5,425,indoor_controlled_simulated,habitual_clear,true
P012-S3,P012,3,18,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.9,446,indoor_controlled_simulated,habitual_clear,true
P012-S4,P012,4,25,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64,290,indoor_controlled_simulated,habitual_clear,true
P012-S5,P012,5,32,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63,457,indoor_controlled_simulated,habitual_clear,true
P013-S1,P013,1,5,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.7,416,indoor_controlled_simulated,none,true
P013-S2,P013,2,12,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.8,341,indoor_controlled_simulated,none,true
P013-S3,P013,3,19,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.5,300,indoor_controlled_simulated,none,true
P013-S4,P013,4,26,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,69,365,indoor_controlled_simulated,none,true
P013-S5,P013,5,33,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.5,532,indoor_controlled_simulated,none,true
P014-S1,P014,1,6,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63,427,indoor_controlled_simulated,none,true
P014-S2,P014,2,13,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.7,290,indoor_controlled_simulated,none,true
P014-S3,P014,3,20,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.8,442,indoor_controlled_simulated,none,true
P014-S4,P014,4,27,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.9,472,indoor_controlled_simulated,none,true
P014-S5,P014,5,34,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,66.5,483,indoor_controlled_simulated,none,true
P015-S1,P015,1,0,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.5,485,indoor_controlled_simulated,none,true
P015-S2,P015,2,7,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.8,455,indoor_controlled_simulated,none,true
P015-S3,P015,3,14,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.1,397,indoor_controlled_simulated,none,true
P015-S4,P015,4,21,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.2,481,indoor_controlled_simulated,none,true
P015-S5,P015,5,28,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.5,425,indoor_controlled_simulated,none,true
P016-S1,P016,1,1,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.8,438,indoor_controlled_simulated,habitual_clear,true
P016-S2,P016,2,8,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.4,460,indoor_controlled_simulated,habitual_clear,true
P016-S3,P016,3,15,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.2,490,indoor_controlled_simulated,habitual_clear,true
P016-S4,P016,4,22,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.9,427,indoor_controlled_simulated,habitual_clear,true
P016-S5,P016,5,29,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.2,387,indoor_controlled_simulated,habitual_clear,true
P017-S1,P017,1,2,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.3,445,indoor_controlled_simulated,none,true
P017-S2,P017,2,9,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,52,399,indoor_controlled_simulated,none,true
P017-S3,P017,3,16,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.6,448,indoor_controlled_simulated,none,true
P017-S4,P017,4,23,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.8,414,indoor_controlled_simulated,none,true
P017-S5,P017,5,30,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.7,366,indoor_controlled_simulated,none,true
P018-S1,P018,1,3,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,52.5,316,indoor_controlled_simulated,none,true
P018-S2,P018,2,10,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,54,327,indoor_controlled_simulated,none,true
P018-S3,P018,3,17,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.7,499,indoor_controlled_simulated,none,true
P018-S4,P018,4,24,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.6,537,indoor_controlled_simulated,none,true
P018-S5,P018,5,31,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.8,280,indoor_controlled_simulated,none,true
P019-S1,P019,1,4,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,618,indoor_controlled_simulated,none,true
P019-S2,P019,2,11,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.2,432,indoor_controlled_simulated,none,true
P019-S3,P019,3,18,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.7,492,indoor_controlled_simulated,none,true
P019-S4,P019,4,25,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63,392,indoor_controlled_simulated,none,true
P019-S5,P019,5,32,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.9,467,indoor_controlled_simulated,none,true
P020-S1,P020,1,5,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.8,355,indoor_controlled_simulated,habitual_clear,true
P020-S2,P020,2,12,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.1,561,indoor_controlled_simulated,habitual_clear,true
P020-S3,P020,3,19,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.2,293,indoor_controlled_simulated,habitual_clear,true
P020-S4,P020,4,26,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.7,606,indoor_controlled_simulated,habitual_clear,true
P020-S5,P020,5,33,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,505,indoor_controlled_simulated,habitual_clear,true
P021-S1,P021,1,6,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.4,439,indoor_controlled_simulated,none,true
P021-S2,P021,2,13,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.8,271,indoor_controlled_simulated,none,true
P021-S3,P021,3,20,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.9,585,indoor_controlled_simulated,none,true
P021-S4,P021,4,27,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.8,327,indoor_controlled_simulated,none,true
P021-S5,P021,5,34,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.5,493,indoor_controlled_simulated,none,true
P022-S1,P022,1,0,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,435,indoor_controlled_simulated,none,true
P022-S2,P022,2,7,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.6,258,indoor_controlled_simulated,none,true
P022-S3,P022,3,14,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.3,399,indoor_controlled_simulated,none,true
P022-S4,P022,4,21,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.5,418,indoor_controlled_simulated,none,true
P022-S5,P022,5,28,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60,461,indoor_controlled_simulated,none,true
P023-S1,P023,1,1,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.6,279,indoor_controlled_simulated,none,true
P023-S2,P023,2,8,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,52.7,369,indoor_controlled_simulated,none,true
P023-S3,P023,3,15,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,50,474,indoor_controlled_simulated,none,true
P023-S4,P023,4,22,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.2,337,indoor_controlled_simulated,none,true
P023-S5,P023,5,29,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,365,indoor_controlled_simulated,none,true
P024-S1,P024,1,2,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.2,494,indoor_controlled_simulated,habitual_clear,true
P024-S2,P024,2,9,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56,394,indoor_controlled_simulated,habitual_clear,true
P024-S3,P024,3,16,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62,411,indoor_controlled_simulated,habitual_clear,true
P024-S4,P024,4,23,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.1,438,indoor_controlled_simulated,habitual_clear,true
P024-S5,P024,5,30,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.4,531,indoor_controlled_simulated,habitual_clear,true
P025-S1,P025,1,3,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.8,464,indoor_controlled_simulated,none,true
P025-S2,P025,2,10,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,54.9,470,indoor_controlled_simulated,none,true
P025-S3,P025,3,17,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.2,517,indoor_controlled_simulated,none,true
P025-S4,P025,4,24,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62,324,indoor_controlled_simulated,none,true
P025-S5,P025,5,31,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,273,indoor_controlled_simulated,none,true
P026-S1,P026,1,4,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.7,469,indoor_controlled_simulated,none,true
P026-S2,P026,2,11,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.5,555,indoor_controlled_simulated,none,true
P026-S3,P026,3,18,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56,455,indoor_controlled_simulated,none,true
P026-S4,P026,4,25,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.4,321,indoor_controlled_simulated,none,true
P026-S5,P026,5,32,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.3,367,indoor_controlled_simulated,none,true
P027-S1,P027,1,5,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.8,268,indoor_controlled_simulated,none,true
P027-S2,P027,2,12,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.2,486,indoor_controlled_simulated,none,true
P027-S3,P027,3,19,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.6,450,indoor_controlled_simulated,none,true
P027-S4,P027,4,26,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.8,386,indoor_controlled_simulated,none,true
P027-S5,P027,5,33,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.2,562,indoor_controlled_simulated,none,true
P028-S1,P028,1,6,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.4,461,indoor_controlled_simulated,habitual_clear,true
P028-S2,P028,2,13,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.3,408,indoor_controlled_simulated,habitual_clear,true
P028-S3,P028,3,20,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.4,379,indoor_controlled_simulated,habitual_clear,true
P028-S4,P028,4,27,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.8,489,indoor_controlled_simulated,habitual_clear,true
P028-S5,P028,5,34,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.8,304,indoor_controlled_simulated,habitual_clear,true
P029-S1,P029,1,0,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,490,indoor_controlled_simulated,none,true
P029-S2,P029,2,7,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.2,418,indoor_controlled_simulated,none,true
P029-S3,P029,3,14,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,51.4,343,indoor_controlled_simulated,none,true
P029-S4,P029,4,21,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.4,368,indoor_controlled_simulated,none,true
P029-S5,P029,5,28,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59,400,indoor_controlled_simulated,none,true
P030-S1,P030,1,1,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.5,379,indoor_controlled_simulated,none,true
P030-S2,P030,2,8,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.8,446,indoor_controlled_simulated,none,true
P030-S3,P030,3,15,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.6,337,indoor_controlled_simulated,none,true
P030-S4,P030,4,22,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.6,418,indoor_controlled_simulated,none,true
P030-S5,P030,5,29,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.2,293,indoor_controlled_simulated,none,true
P031-S1,P031,1,2,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.5,555,indoor_controlled_simulated,none,true
P031-S2,P031,2,9,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.8,511,indoor_controlled_simulated,none,true
P031-S3,P031,3,16,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.4,427,indoor_controlled_simulated,none,true
P031-S4,P031,4,23,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56,392,indoor_controlled_simulated,none,true
P031-S5,P031,5,30,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.7,364,indoor_controlled_simulated,none,true
P032-S1,P032,1,3,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.4,231,indoor_controlled_simulated,habitual_clear,true
P032-S2,P032,2,10,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.5,557,indoor_controlled_simulated,habitual_clear,true
P032-S3,P032,3,17,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.9,426,indoor_controlled_simulated,habitual_clear,true
P032-S4,P032,4,24,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.4,443,indoor_controlled_simulated,habitual_clear,true
P032-S5,P032,5,31,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.7,560,indoor_controlled_simulated,habitual_clear,true
P033-S1,P033,1,4,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.9,332,indoor_controlled_simulated,none,true
P033-S2,P033,2,11,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.1,522,indoor_controlled_simulated,none,true
P033-S3,P033,3,18,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.7,311,indoor_controlled_simulated,none,true
P033-S4,P033,4,25,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,586,indoor_controlled_simulated,none,true
P033-S5,P033,5,32,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,67,452,indoor_controlled_simulated,none,true
P034-S1,P034,1,5,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.1,434,indoor_controlled_simulated,none,true
P034-S2,P034,2,12,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.4,470,indoor_controlled_simulated,none,true
P034-S3,P034,3,19,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.9,356,indoor_controlled_simulated,none,true
P034-S4,P034,4,26,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.5,410,indoor_controlled_simulated,none,true
P034-S5,P034,5,33,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.2,489,indoor_controlled_simulated,none,true
P035-S1,P035,1,6,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.4,540,indoor_controlled_simulated,none,true
P035-S2,P035,2,13,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.3,519,indoor_controlled_simulated,none,true
P035-S3,P035,3,20,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.8,338,indoor_controlled_simulated,none,true
P035-S4,P035,4,27,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.1,293,indoor_controlled_simulated,none,true
P035-S5,P035,5,34,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64,193,indoor_controlled_simulated,none,true
