experiment_id,run_id,sample_ts,elapsed_s,pi_online,pc_online,pi_cpu_pct,pi_ram_used_mb,pi_ram_pct,pi_temperature_c,pi_throttled,pi_undervoltage,pi_power_w,passive_b_actual_fps,passive_s_state,queue_depth,network_connected,ping_latency_ms,packet_loss_pct,pc_cpu_pct,pc_ram_used_mb,process_restart_count,data_loss_observed,notes,source_row
exp_v1_baseline,run_001,2026-08-22T09:25:00.000,1500,True,True,61.3,1171,28.6,70,False,False,4.14,12.9,listening,0,True,9.2,0,23.4,2458,0,False,,27
exp_v1_baseline,run_001,2026-08-22T09:26:00.000,1560,True,True,84.2,1166,28.5,70.6,False,False,4.18,15.6,idle,0,True,18,0,17.7,2462,0,False,,28
exp_v1_baseline,run_001,2026-08-22T09:27:00.000,1620,True,True,81.1,1175,28.7,69.7,False,False,4.31,14.1,idle,0,True,16.9,0,18.6,2468,0,False,,29
exp_v1_baseline,run_001,2026-08-22T09:28:00.000,1680,True,True,90.3,1176,28.7,69.7,False,False,4.33,14.3,idle,0,True,11.7,0,37.1,2462,0,False,,30
exp_v1_baseline,run_001,2026-08-22T09:29:00.000,1740,True,True,53.8,1179,28.8,69,False,False,4.08,15.3,idle,0,True,12.4,0,22.3,2453,0,False,,31
exp_v1_baseline,run_001,2026-08-22T09:30:00.000,1800,True,True,58.7,1169,28.5,69.5,False,False,4.26,13.6,listening,0,True,6,1.2,21.7,2463,0,False,,32
exp_v1_baseline,run_001,2026-08-22T09:31:00.000,1860,True,True,66.9,1188,29,67.8,False,False,4.25,12.8,listening,0,True,15.5,0,21.3,2462,0,False,,33
exp_v1_baseline,run_001,2026-08-22T09:32:00.000,1920,True,True,65.4,1166,28.5,73,False,False,4.31,13.1,idle,0,True,8.4,0,17.8,2466,0,False,,34
exp_v1_baseline,run_001,2026-08-22T09:33:00.000,1980,True,True,51.2,1187,29,66.7,False,False,4.28,12.3,idle,0,True,13,0,15.1,2459,0,False,,35
exp_v1_baseline,run_001,2026-08-22T09:34:00.000,2040,True,True,55.4,1167,28.5,70,False,False,4.14,13.6,idle,0,True,16.9,0,12.8,2462,0,False,,36
exp_v1_baseline,run_001,2026-08-22T09:35:00.000,2100,True,True,56.2,1162,28.4,71.1,False,False,3.92,13.3,idle,0,True,9.4,0,12.2,2472,0,False,,37
exp_v1_baseline,run_001,2026-08-22T09:36:00.000,2160,True,True,56.7,1177,28.7,75.4,False,False,4.05,12,listening,0,True,3.8,0,20.1,2474,0,False,,38
exp_v1_baseline,run_001,2026-08-22T09:37:00.000,2220,True,True,50.5,1177,28.7,69.9,False,False,4.41,13.1,idle,0,True,23.3,0,19.4,2463,0,False,,39
exp_v1_baseline,run_001,2026-08-22T09:38:00.000,2280,True,True,51.3,1192,29.1,71.5,False,False,4.12,13.7,idle,0,True,12.9,0,19,2472,0,False,,40
exp_v1_baseline,run_001,2026-08-22T09:39:00.000,2340,True,True,39.3,1165,28.4,68.4,True,False,4.29,11.9,listening,0,True,8.5,0,17,2469,0,False,,41
exp_v1_baseline,run_001,2026-08-22T09:40:00.000,2400,True,True,63.9,1191,29.1,69,False,False,4,12.5,idle,0,True,11.9,0,10.4,2463,0,False,,42
exp_v1_baseline,run_001,2026-08-22T09:41:00.000,2460,True,True,46.6,1191,29.1,70.8,False,False,3.92,13.2,idle,0,True,14.8,0,21.7,2470,0,False,,43
exp_v1_baseline,run_001,2026-08-22T09:42:00.000,2520,True,True,57.8,1177,28.7,75.5,False,False,4.3,15,idle,0,True,5.2,0,17.3,2469,0,False,,44
exp_v1_baseline,run_001,2026-08-22T09:43:00.000,2580,True,True,54.5,1185,28.9,71.1,False,False,3.99,13.4,idle,0,True,14.8,0,15.7,2462,0,False,,45
exp_v1_baseline,run_001,2026-08-22T09:44:00.000,2640,True,True,51.2,1179,28.8,71.7,False,False,4.13,13.2,listening,0,True,14,0,19.7,2468,0,False,,46
exp_v1_baseline,run_001,2026-08-22T09:45:00.000,2700,True,True,52.3,1185,28.9,71,False,False,4.24,12,listening,0,True,46.5,0,13.1,2472,0,False,,47
exp_v1_baseline,run_001,2026-08-22T09:46:00.000,2760,True,True,54.4,1190,29.1,69.2,False,False,4.19,12.7,listening,0,True,11.4,0,24.4,2466,0,False,,48
exp_v1_baseline,run_001,2026-08-22T09:47:00.000,2820,True,True,58.4,1182,28.9,67.2,False,False,4.15,13.6,idle,0,True,17.1,0,13.9,2471,0,False,,49
exp_v1_baseline,run_001,2026-08-22T09:48:00.000,2880,True,True,62.6,1192,29.1,67,False,False,4.31,14,idle,0,True,11.5,0,16.3,2471,0,False,,50
exp_v1_baseline,run_001,2026-08-22T09:49:00.000,2940,True,True,52.4,1193,29.1,72.8,False,False,3.9,14.6,idle,0,True,14.6,0,23.6,2468,0,False,,51
exp_v1_baseline,run_001,2026-08-22T09:50:00.000,3000,True,True,59.7,1194,29.1,70.7,False,False,4.24,14.7,idle,0,True,10.3,0,22.2,2466,0,False,,52
exp_v1_baseline,run_001,2026-08-22T09:51:00.000,3060,True,True,63.3,1191,29.1,69,False,False,4.34,13.8,idle,0,True,6.9,0.62,16.7,2478,0,False,,53
exp_v1_baseline,run_001,2026-08-22T09:52:00.000,3120,True,True,60.6,1192,29.1,67.6,False,False,4.31,15.4,idle,0,True,14.2,0,22.2,2470,0,False,,54
exp_v1_baseline,run_001,2026-08-22T09:53:00.000,3180,True,True,43.6,1179,28.8,73.2,True,False,4.2,12.4,idle,0,True,11.7,0,18.9,2464,0,False,,55
exp_v1_baseline,run_001,2026-08-22T09:54:00.000,3240,True,True,66,1198,29.2,68.6,False,False,4.38,14.9,idle,0,True,3.7,0,21,2470,0,False,,56
exp_v1_baseline,run_001,2026-08-22T09:55:00.000,3300,True,True,53.1,1185,28.9,69.9,False,False,4.04,13.3,idle,0,True,13.8,0,23,2477,0,False,,57
exp_v1_baseline,run_001,2026-08-22T09:56:00.000,3360,True,True,56.9,1196,29.2,72.4,False,False,4.08,14,listening,0,True,12,0,17.7,2467,0,False,,58
exp_v1_baseline,run_001,2026-08-22T09:57:00.000,3420,True,True,51.6,1182,28.9,69.1,False,False,4.05,12.1,idle,1,True,5.9,0,23.4,2472,0,False,,59
exp_v1_baseline,run_001,2026-08-22T09:58:00.000,3480,True,True,58.2,1183,28.9,70.8,False,False,4.61,14,idle,0,True,17.7,0,13.8,2474,0,False,,60
exp_v1_baseline,run_001,2026-08-22T09:59:00.000,3540,True,True,60.1,1203,29.4,70.9,False,False,4.11,14.8,idle,0,True,9.5,0,13.4,2476,0,False,,61
exp_v1_baseline,run_002,2026-08-23T10:30:00.000,0,True,True,59.3,1148,28,70.1,False,False,3.8,12.8,idle,0,True,14.3,0,23.1,2455,0,False,,62
exp_v1_baseline,run_002,2026-08-23T10:31:00.000,60,True,True,90.6,1155,28.2,66.4,False,False,4.36,13.6,listening,0,True,11.6,0,11.9,2455,0,False,,63
exp_v1_baseline,run_002,2026-08-23T10:32:00.000,120,True,True,79.1,1156,28.2,67.5,False,False,4.05,12.3,idle,0,True,10.7,0.59,15.7,2450,0,False,,64
exp_v1_baseline,run_002,2026-08-23T10:33:00.000,180,True,True,81.1,1145,27.9,74.2,False,False,4.19,13.7,idle,0,True,11.1,0,20.7,2453,0,False,,65
exp_v1_baseline,run_002,2026-08-23T10:34:00.000,240,True,True,84.9,1151,28.1,70.4,False,False,4.18,14.2,idle,0,True,6.7,0,35.7,2440,0,False,,66
exp_v1_baseline,run_002,2026-08-23T10:35:00.000,300,True,True,61.2,1168,28.5,67.3,False,False,4.3,13.3,idle,0,True,12.2,0,16.2,2449,0,False,,67
exp_v1_baseline,run_002,2026-08-23T10:36:00.000,360,True,True,60,1147,28,62.4,False,False,4.32,13.2,idle,0,True,8.4,0,6.2,2460,0,False,,68
exp_v1_baseline,run_002,2026-08-23T10:37:00.000,420,True,True,76.7,1162,28.4,69.7,False,False,4.37,12.6,idle,0,True,13.5,0,13.5,2446,0,False,,69
exp_v1_baseline,run_002,2026-08-23T10:38:00.000,480,True,True,57.3,1161,28.4,66,True,False,4.11,11.1,listening,0,True,8.1,0,38.1,2453,0,False,,70
exp_v1_baseline,run_002,2026-08-23T10:39:00.000,540,True,True,82.5,1160,28.3,71.8,False,False,4.31,13.7,listening,0,True,11.8,0,19,2446,0,False,,71
exp_v1_baseline,run_002,2026-08-23T10:40:00.000,600,True,True,86.8,1170,28.6,71.8,False,False,4.28,12.8,idle,0,True,2,0,40.8,2448,0,False,,72
exp_v1_baseline,run_002,2026-08-23T10:41:00.000,660,True,True,87.1,1164,28.4,70.2,False,False,4.18,13.7,idle,0,True,9.2,0,52.7,2455,0,False,,73
exp_v1_baseline,run_002,2026-08-23T10:42:00.000,720,True,True,63.5,1164,28.4,65.9,False,False,4.19,14.1,listening,0,True,14.5,0,20.4,2450,0,False,,74
exp_v1_baseline,run_002,2026-08-23T10:43:00.000,780,True,True,49.3,1154,28.2,63.5,False,False,4.09,13.3,idle,0,True,14.2,0,17.7,2458,0,False,,75
exp_v1_baseline,run_002,2026-08-23T10:44:00.000,840,True,True,79.7,1181,28.8,67.8,False,False,4.07,13,idle,0,True,10.8,0,25.7,2459,0,False,,76
exp_v1_baseline,run_002,2026-08-23T10:45:00.000,900,True,True,88.1,1172,28.6,71.1,False,False,4.41,14.4,idle,0,True,8.8,0,14.3,2459,0,False,,77
exp_v1_baseline,run_002,2026-08-23T10:46:00.000,960,True,True,82.1,1159,28.3,68.2,False,False,4.3,14.3,idle,0,True,11.7,0,44,2459,0,False,,78
exp_v1_baseline,run_002,2026-08-23T10:47:00.000,1020,True,True,91.1,1166,28.5,73.8,False,False,4.16,14.8,listening,0,True,9.4,0,21.4,2453,0,False,,79
exp_v1_baseline,run_002,2026-08-23T10:48:00.000,1080,True,True,82.8,1169,28.6,70.5,False,False,4.5,14.2,listening,1,True,7,0,17.7,2462,0,False,,80
exp_v1_baseline,run_002,2026-08-23T10:49:00.000,1140,True,True,75.9,1167,28.5,68.6,False,False,4.16,11.9,idle,0,True,9.7,0,46.2,2469,0,False,,81
exp_v1_baseline,run_002,2026-08-23T10:50:00.000,1200,True,True,39,1170,28.6,68.2,True,False,4.08,11.8,listening,0,True,7.4,0,16.3,2463,0,False,,82
exp_v1_baseline,run_002,2026-08-23T10:51:00.000,1260,True,True,49.4,1157,28.3,65.9,False,False,4.09,13.3,listening,0,True,12.1,0,24.5,2453,0,False,,83
exp_v1_baseline,run_002,2026-08-23T10:52:00.000,1320,True,True,52.4,1161,28.3,65.1,False,False,3.71,14.5,idle,0,True,13.5,0,19.3,2456,0,False,,84
exp_v1_baseline,run_002,2026-08-23T10:53:00.000,1380,True,True,49.6,1164,28.4,66.5,False,False,4.17,12.3,idle,0,True,11.9,0,12.9,2459,0,False,,85
exp_v1_baseline,run_002,2026-08-23T10:54:00.000,1440,True,True,64.8,1170,28.6,71.6,False,False,4.12,12.7,idle,0,True,4.8,0,21.1,2459,0,False,,86
exp_v1_baseline,run_002,2026-08-23T10:55:00.000,1500,True,True,53.7,1189,29,69.5,False,False,3.84,12.4,idle,0,True,12.6,0,9.8,2458,0,False,,87
exp_v1_baseline,run_002,2026-08-23T10:56:00.000,1560,True,True,53.6,1176,28.7,69.5,False,False,4.16,14.7,idle,0,True,9.3,0,15.1,2459,0,False,,88
exp_v1_baseline,run_002,2026-08-23T10:57:00.000,1620,True,True,65.6,1181,28.8,74.2,False,False,4.3,14.2,idle,0,True,14.1,0,20.3,2461,0,False,,89
exp_v1_baseline,run_002,2026-08-23T10:58:00.000,1680,True,True,50.9,1160,28.3,66.7,False,False,3.86,14.9,idle,0,True,14.5,0,26.8,2464,0,False,,90
exp_v1_baseline,run_002,2026-08-23T10:59:00.000,1740,True,True,48,1182,28.8,73.8,False,False,4.17,13.5,listening,1,True,3.9,0,21.3,2460,0,False,,91
exp_v1_baseline,run_002,2026-08-23T11:00:00.000,1800,True,True,49.8,1178,28.8,70.2,False,False,4.04,13.8,idle,0,True,8.7,0.57,16.3,2470,0,False,,92
exp_v1_baseline,run_002,2026-08-23T11:01:00.000,1860,True,True,60.9,1186,29,67.1,False,False,4.26,15.6,idle,0,True,70.7,0,17.6,2467,0,False,,93
exp_v1_baseline,run_002,2026-08-23T11:02:00.000,1920,True,True,51.2,1171,28.6,68.1,False,False,4.21,14.2,idle,0,True,17.1,0,11.9,2454,0,False,,94
exp_v1_baseline,run_002,2026-08-23T11:03:00.000,1980,True,True,55.1,1181,28.8,66.6,False,False,4.15,12.9,idle,0,True,3.6,0,15.7,2458,0,False,,95
exp_v1_baseline,run_002,2026-08-23T11:04:00.000,2040,True,True,59.7,1168,28.5,65.8,False,False,4.46,14,idle,0,True,10.5,0,15.3,2457,0,False,,96
exp_v1_baseline,run_002,2026-08-23T11:05:00.000,2100,True,True,45.2,1180,28.8,70.6,False,False,4.11,12.2,listening,1,True,9.8,0.41,21.8,2467,0,False,,97
exp_v1_baseline,run_002,2026-08-23T11:06:00.000,2160,True,True,55.7,1170,28.6,75.2,False,False,3.8,14.3,idle,0,True,16.3,0,9.5,2468,0,False,,98
exp_v1_baseline,run_002,2026-08-23T11:07:00.000,2220,True,True,56.2,1183,28.9,70.4,False,False,4.06,14.4,listening,0,True,11.8,0,22.4,2464,0,False,,99
exp_v1_baseline,run_002,2026-08-23T11:08:00.000,2280,True,True,56.8,1173,28.6,69.9,False,False,4.33,14.6,listening,0,True,7.2,0,20.3,2463,0,False,,100
exp_v1_baseline,run_002,2026-08-23T11:09:00.000,2340,True,True,65.3,1186,29,67.2,False,False,3.85,12.5,idle,0,True,13.9,0,18.9,2477,0,False,,101
exp_v1_baseline,run_002,2026-08-23T11:10:00.000,2400,True,True,51,1178,28.8,70.4,False,False,3.98,12.6,listening,0,True,11.4,0,20.7,2473,0,False,,102
exp_v1_baseline,run_002,2026-08-23T11:11:00.000,2460,True,True,56.3,1183,28.9,68.1,False,False,3.99,12.9,listening,0,True,13.8,0,19.4,2465,0,False,,103
exp_v1_baseline,run_002,2026-08-23T11:12:00.000,2520,True,True,56,1185,28.9,67,False,False,4.24,13.3,idle,0,True,13.4,0,21.7,2469,0,False,,104
exp_v1_baseline,run_002,2026-08-23T11:13:00.000,2580,True,True,56.7,1184,28.9,70.8,False,False,3.91,14,listening,0,True,20.4,0,17.6,2459,0,False,,105
exp_v1_baseline,run_002,2026-08-23T11:14:00.000,2640,True,True,58.4,1168,28.5,69,False,False,3.97,13.3,idle,0,True,16.4,0,11,2470,0,False,,106
exp_v1_baseline,run_003,2026-08-25T14:00:00.000,0,True,True,56.2,1137,27.8,68.6,False,False,4.28,13.5,idle,0,True,11.3,0,19,2454,0,False,,107
exp_v1_baseline,run_003,2026-08-25T14:01:00.000,60,True,True,53.9,1149,28.1,70.2,False,False,4.06,13.3,idle,0,True,5.5,0,15.6,2450,0,False,,108
exp_v1_baseline,run_003,2026-08-25T14:02:00.000,120,True,True,72,1137,27.8,63.4,False,False,4.16,13.6,listening,0,True,12.1,0,18.9,2457,0,False,,109
exp_v1_baseline,run_003,2026-08-25T14:03:00.000,180,True,True,90.9,1157,28.3,72.8,False,False,4.17,14.9,idle,0,True,12.7,0,9.4,2457,0,False,,110
exp_v1_baseline,run_003,2026-08-25T14:04:00.000,240,True,True,83.9,1170,28.6,70.4,False,False,4.52,15.5,idle,0,True,16.8,0,18.8,2450,0,False,,111
exp_v1_baseline,run_003,2026-08-25T14:05:00.000,300,True,True,75.5,1154,28.2,68.6,False,False,4.33,15,idle,0,True,15.8,0,39.6,2446,0,False,,112
exp_v1_baseline,run_003,2026-08-25T14:06:00.000,360,True,True,65.5,1148,28,67.5,False,False,4.58,12.2,listening,0,True,56.6,0,21.2,2444,0,False,,113
exp_v1_baseline,run_003,2026-08-25T14:07:00.000,420,True,True,62.6,1153,28.2,63.8,False,False,4.02,12.4,idle,0,True,16.4,0,17,2455,0,False,,114
exp_v1_baseline,run_003,2026-08-25T14:08:00.000,480,True,True,85.3,1160,28.3,69.2,False,False,4.12,13.7,listening,0,True,7.7,0,14.6,2451,0,False,,115
exp_v1_baseline,run_003,2026-08-25T14:09:00.000,540,True,True,79.2,1151,28.1,72.4,False,False,4.31,12.8,listening,0,True,14.4,0,19.4,2455,0,False,,116
exp_v1_baseline,run_003,2026-08-25T14:10:00.000,600,True,True,83.7,1163,28.4,71.9,False,False,4.32,13.6,idle,0,True,11.5,0,45.4,2454,0,False,,117
exp_v1_baseline,run_003,2026-08-25T14:11:00.000,660,True,True,56.6,1155,28.2,68.3,False,False,4.23,13,idle,0,True,18.7,0,14.7,2451,0,False,,118
exp_v1_baseline,run_003,2026-08-25T14:12:00.000,720,True,True,58.5,1161,28.3,69.8,False,False,3.99,12,idle,0,True,15.1,0,16.5,2450,0,False,,119
exp_v1_baseline,run_003,2026-08-25T14:13:00.000,780,True,True,60.7,1168,28.5,68.2,False,False,3.9,13.2,idle,0,True,14.9,0,20.5,2456,0,False,,120
exp_v1_baseline,run_003,2026-08-25T14:14:00.000,840,True,True,58.2,1160,28.3,70.2,False,False,4.1,15.1,idle,0,True,15.3,0,18,2459,0,False,,121
exp_v1_baseline,run_003,2026-08-25T14:15:00.000,900,True,True,52.8,1166,28.5,65.9,False,False,3.98,14.1,listening,0,True,9,0,10.6,2450,0,False,,122
exp_v1_baseline,run_003,2026-08-25T14:16:00.000,960,True,True,61.5,1167,28.5,70.4,False,False,4.37,12.1,listening,0,True,3.7,0,19.2,2465,0,False,,123
exp_v1_baseline,run_003,2026-08-25T14:17:00.000,1020,True,True,49.4,1160,28.3,66.7,False,False,4.24,15.3,idle,0,True,23.3,0,21.2,2450,0,False,,124
exp_v1_baseline,run_003,2026-08-25T14:18:00.000,1080,True,True,54.8,1171,28.6,66.4,False,False,4.1,13.2,listening,0,True,67.4,0,20.9,2447,0,False,,125
exp_v1_baseline,run_003,2026-08-25T14:19:00.000,1140,True,True,84.4,1156,28.2,69.9,False,False,4.44,14,idle,0,True,17.4,0,17.7,2458,0,False,,126
exp_v1_baseline,run_003,2026-08-25T14:20:00.000,1200,True,True,87,1173,28.6,72.8,False,False,4.06,13.6,idle,0,True,13.9,0,14.9,2462,0,False,,127
exp_v1_baseline,run_003,2026-08-25T14:21:00.000,1260,True,True,82.8,1173,28.6,73.7,False,False,4.5,13.1,listening,0,True,8.9,0,46.5,2463,0,False,,128
exp_v1_baseline,run_003,2026-08-25T14:22:00.000,1320,True,True,51.9,1173,28.6,73.9,False,False,3.91,13.4,idle,0,True,14.5,0,15.4,2460,0,False,,129
exp_v1_baseline,run_003,2026-08-25T14:23:00.000,1380,True,True,52.3,1176,28.7,66.5,False,False,4.22,14.1,idle,0,True,58,0,19,2453,0,False,,130
exp_v1_baseline,run_003,2026-08-25T14:24:00.000,1440,True,True,59,1161,28.3,67.2,False,False,4.08,12,idle,0,True,10.2,0,17.5,2453,0,False,,131
exp_v1_baseline,run_003,2026-08-25T14:25:00.000,1500,True,True,79.5,1187,29,72.9,False,False,4.19,13.9,idle,0,True,18.3,0,12.8,2455,0,False,,132
exp_v1_baseline,run_003,2026-08-25T14:26:00.000,1560,True,True,62.2,1158,28.3,65.7,False,False,4.11,13.2,idle,0,True,17,0,22.4,2467,0,False,,133
exp_v1_baseline,run_003,2026-08-25T14:27:00.000,1620,True,True,56.2,1174,28.7,66.9,False,False,3.9,13.2,idle,0,True,14.7,0,15.3,2458,0,False,,134
exp_v1_baseline,run_003,2026-08-25T14:28:00.000,1680,True,True,67.5,1180,28.8,65.7,False,False,4.36,12.5,idle,0,True,13.3,0,23.6,2460,0,False,,135
exp_v1_baseline,run_003,2026-08-25T14:29:00.000,1740,True,True,54.2,1159,28.3,63.9,False,False,4.4,13.2,idle,0,True,14.9,0,23.3,2457,0,False,,136
exp_v2_improved,run_004,2026-08-29T09:00:00.000,0,True,True,48.7,1383,33.8,62.1,False,False,3.57,16,idle,0,True,6.8,0,21,2444,0,False,,137
exp_v2_improved,run_004,2026-08-29T09:01:00.000,60,True,True,45.9,1384,33.8,56.7,False,False,3.41,15.6,idle,0,True,2,0,20.1,2453,0,False,,138
exp_v2_improved,run_004,2026-08-29T09:02:00.000,120,True,True,62.1,1381,33.7,60.7,False,False,3.75,15.7,idle,0,True,8.3,0,11.3,2456,0,False,,139
exp_v2_improved,run_004,2026-08-29T09:03:00.000,180,True,True,47,1376,33.6,60.2,False,False,3.59,15.6,idle,0,True,8.7,0,17.5,2460,0,False,,140
exp_v2_improved,run_004,2026-08-29T09:04:00.000,240,True,True,43.6,1385,33.8,57,False,False,3.6,15.6,idle,0,True,5.2,0,22.7,2453,0,False,,141
exp_v2_improved,run_004,2026-08-29T09:05:00.000,300,True,True,44.4,1380,33.7,58.9,False,False,3.61,15.8,idle,0,True,4.9,0,16.4,2451,0,False,,142
exp_v2_improved,run_004,2026-08-29T09:06:00.000,360,True,True,39.2,1388,33.9,59.2,False,False,3.41,15,listening,0,True,32.6,0,19.3,2451,0,False,,143
exp_v2_improved,run_004,2026-08-29T09:07:00.000,420,True,True,40.2,1393,34,56.7,False,False,3.55,15.8,listening,0,True,8,0,13.8,2457,0,False,,144
exp_v2_improved,run_004,2026-08-29T09:08:00.000,480,True,True,42.6,1376,33.6,57.6,False,False,3.61,15.7,listening,0,True,13.8,0,14.8,2451,0,False,,145
exp_v2_improved,run_004,2026-08-29T09:09:00.000,540,True,True,64,1385,33.8,57.1,False,False,3.72,15.4,idle,0,True,10.6,0,14.1,2457,0,False,,146
exp_v2_improved,run_004,2026-08-29T09:10:00.000,600,True,True,38.1,1385,33.8,56.9,False,False,3.41,15.8,listening,0,True,5.6,0,20.3,2458,0,False,,147
exp_v2_improved,run_004,2026-08-29T09:11:00.000,660,True,True,58.6,1386,33.8,55.8,False,False,3.76,16,idle,0,True,8.2,0,18.7,2452,0,False,,148
exp_v2_improved,run_004,2026-08-29T09:12:00.000,720,True,True,45,1380,33.7,58.2,False,False,3.5,15.9,idle,0,True,7.9,0,19.3,2456,0,False,,149
exp_v2_improved,run_004,2026-08-29T09:13:00.000,780,True,True,39.2,1391,34,58.4,False,False,3.42,16,idle,0,True,6.9,0,16.7,2454,0,False,,150
exp_v2_improved,run_004,2026-08-29T09:14:00.000,840,True,True,35.1,1385,33.8,60.2,False,False,3.48,15.7,listening,0,True,4.4,0,17.9,2454,0,False,,151
exp_v2_improved,run_004,2026-08-29T09:15:00.000,900,True,True,41.7,1390,33.9,59.6,False,False,3.42,15.7,idle,0,True,3,0,20.8,2457,0,False,,152
exp_v2_improved,run_004,2026-08-29T09:16:00.000,960,True,True,44.8,1392,34,60.2,False,False,3.48,15.5,idle,0,True,7.6,0,19,2458,0,False,,153
exp_v2_improved,run_004,2026-08-29T09:17:00.000,1020,True,True,41,1392,34,58.9,False,False,3.4,16,listening,0,True,9.9,0,17.2,2454,0,False,,154
exp_v2_improved,run_004,2026-08-29T09:18:00.000,1080,True,True,38.8,1374,33.5,60.2,False,False,3.52,16,idle,0,True,5.3,0,16.5,2454,0,False,,155
